penalty	tool	species	genome	alignment_allworse_all_suboptimal	alignment_allworse_single_miss	alignment_allbetter	total_reads	alignment_allworse_all_suboptimalper	alignment_allworse_single_missper	alignment_allbetterper	total_alignments_reads_with_problem	total_alignments	total_best_alignments	total_best_alignments2
bowtie	bowtie.all	Bactor	am_BaFr	2358325	9881	105775	3209652	4571921.987529181	23268.10324941721	105775.0	20316891	3244760	15657756	15667627
bowtie	minimap.all	Bactor	am_BaFr	502	1670804	23790	3215249	481.3666666666667	856520.250000001	23790.0	3342650	3220169	3396749	3431305
bowtie	bwa.all	Bactor	am_BaFr	850	1671806	36877	3224494	1909.1812409812408	837282.5	36877.0	3353482	3230468	3438345	3453761
bowtie	bowtie	Bactor	am_BaFr	18	1671681	12547	3209422	18.0	847920.8333333349	12547.0	3339881	3211180	3387721	3404226
bowtie	minimap	Bactor	am_BaFr	503	1671054	23613	3215249	481.3666666666667	856947.5833333343	23613.0	3343119	3220169	3397236	3432007
bowtie	bwa	Bactor	am_BaFr	248	1677080	19625	3224466	220.41666666666657	843536.5833333336	19625.0	3358914	3230008	3407253	3427540
bowtie	mapper1	Bactor	am_BaFr	5	2949	24556	3208456	3.0833333333333335	3283.360087719298	24556.0	5712	3209208	14875481	14892749
bowtie	mapper1.kmer12	Bactor	am_BaFr	0	3153953	569	3208544	0	3154364.0	569.0	3155661	3209294	3260408	3261573
bowtie	mapper1.kmer18	Bactor	am_BaFr	0	99598	13061	3206681	0	99544.29999999999	13061.0	103041	3207434	9798020	9812287
bowtie	mapper1.kmer24	Bactor	am_BaFr	0	99882	12707	3198579	0	99755.55	12707.0	103323	3199331	9769467	9783320
bwa	bowtie.all	Bactor	am_BaFr	2393535	10951	103412	3217870	4925355.186328384	24171.702458922497	103412.0	21725212	3269164	15717696	15726821
bwa	minimap.all	Bactor	am_BaFr	490	1669883	24105	3215271	463.9000000000001	852212.5833333342	24105.0	3341631	3219873	3399320	3432137
bwa	bwa.all	Bactor	am_BaFr	752	1672066	36349	3224871	1719.7481060606058	837384.25	36349.0	3353254	3230178	3437309	3452810
bwa	bowtie	Bactor	am_BaFr	16	1676288	15841	3217688	16.0	850914.5000000014	15841.0	3350889	3220012	3397897	3417929
bwa	minimap	Bactor	am_BaFr	490	1670141	23907	3215271	463.40000000000003	852598.9166666674	23907.0	3342122	3219873	3399878	3432878
bwa	bwa	Bactor	am_BaFr	223	1676981	19945	3224848	196.8333333333333	843290.9166666667	19945.0	3358285	3229863	3407259	3427421
bwa	mapper1	Bactor	am_BaFr	9	4607	27553	3213424	7.483333333333333	5016.43482033962	27553.0	9369	3214558	14813053	14834275
bwa	mapper1.kmer12	Bactor	am_BaFr	0	3158715	614	3213429	0	3159141.5000000005	614.0	3160826	3214563	3265545	3266793
bwa	mapper1.kmer18	Bactor	am_BaFr	3	100898	15473	3210948	4.0	100359.56666666656	15473.0	105734	3211979	9796914	9813953
bwa	mapper1.kmer24	Bactor	am_BaFr	3	101110	14953	3202361	4.0	100462.49999999993	14953.0	105844	3203294	9768615	9784948
minimap	bowtie.all	Bactor	am_BaFr	2364924	10279	105346	3212838	4626244.150971408	24182.653136804587	105346.0	20559937	3250397	15681891	15692423
minimap	minimap.all	Bactor	am_BaFr	514	1670492	24059	3215255	487.15000000000003	854780.3333333341	24059.0	3342855	3220099	3398500	3432633
minimap	bwa.all	Bactor	am_BaFr	819	1671729	36960	3224514	1860.8494949494946	837241.75	36960.0	3353104	3230319	3438490	3453975
minimap	bowtie	Bactor	am_BaFr	15	1674737	13582	3212614	15.0	849720.5000000016	13582.0	3346593	3214578	3393981	3411727
minimap	minimap	Bactor	am_BaFr	513	1670753	23872	3215255	485.15000000000003	855197.1666666674	23872.0	3343343	3220099	3398990	3433310
minimap	bwa	Bactor	am_BaFr	245	1676967	19914	3224487	216.7499999999999	843468.0000000003	19914.0	3358598	3229906	3407059	3427410
minimap	mapper1	Bactor	am_BaFr	7	3876	26268	3210639	3.616666666666667	3959.5303258145377	26268.0	7515	3211389	14864766	14883870
minimap	mapper1.kmer12	Bactor	am_BaFr	0	3156054	592	3210683	0	3156460.5	592.0	3157745	3211431	3262464	3263643
