Genome	Cov	tool
ao_BaFr	0.8575540047502506	bowtie.all
am_BaFr	1.000458628958797	bowtie.all
bq_BaFr	0.8445154605114958	bowtie.all
av_BaFr	0.8540907115488794	bowtie.all
af_BaFr	0.801387623306961	bowtie.all
aa_BaFr	0.8157441332046613	bowtie.all
bj_BaXy	0.037029638219048554	bowtie.all
bj_BaVu	0.04250904875728728	bowtie.all
bf_BaUn	0.03601522470677924	bowtie.all
am_BaOv	0.04938339170233249	bowtie.all
am_AlOn	0.018823043824881404	bowtie.all
bf_BaOv	0.03627231041020245	bowtie.all
af_BaUn	0.051526937928276305	bowtie.all
cx_BaOv	0.034959401502022265	bowtie.all
cx_BaVu	0.02689837711450464	bowtie.all
bq_BaCe	0.03087314810996747	bowtie.all
af_BaSt	0.06362093127565922	bowtie.all
bk_BaSa	0.050468029427002084	bowtie.all
bj_BaCa	0.042142356934794976	bowtie.all
am_PaMe	0.043867181316051836	bowtie.all
am_BaXy	0.05063730114867119	bowtie.all
am_BaSt	0.039140072176183066	bowtie.all
cx_BaCa	0.04422614794167893	bowtie.all
aa_BaXy	0.03665817690389654	bowtie.all
bq_BaFi	0.045111927150055346	bowtie.all
cx_BaUn	0.031012976043580037	bowtie.all
bq_BaCa	0.04435245059409553	bowtie.all
an_BaOv	0.04319928283459131	bowtie.all
bj_BaUn	0.047735985855773565	bowtie.all
am_EnCl	0.007539490238593171	bowtie.all
am_RuTo	0.0011501868121627002	bowtie.all
aa_BaFa	0.03941146012291077	bowtie.all
af_BaTh	0.02813245120069711	bowtie.all
bk_BaOv	0.029002660440341197	bowtie.all
am_CoAe	0.003146795553058457	bowtie.all
af_BaDo	0.01635291395746644	bowtie.all
av_BaVu	0.01683883356759646	bowtie.all
ao_BaXy	0.029875617898688214	bowtie.all
af_BaVu	0.01924415621483298	bowtie.all
av_BaTh	0.028440914279062698	bowtie.all
am_BaVu	0.044053299866453316	bowtie.all
am_PaDi	0.01464030754233001	bowtie.all
af_BaXy	0.029389713295951563	bowtie.all
aa_BaOv	0.028546203205589704	bowtie.all
aa_BaVu	0.01621399028149206	bowtie.all
ao_BaOv	0.026114167471073008	bowtie.all
cx_BaFa	0.03291142466127139	bowtie.all
bf_BaFa	0.031824051611039406	bowtie.all
am_StSa	0.003791167508891396	bowtie.all
bk_BaCe	0.018934075690132602	bowtie.all
bq_BaOv	0.028324064875677103	bowtie.all
am_PaEx	0.009021727795695905	bowtie.all
am_FiSp	0.003034048034734619	bowtie.all
bk_BaTh	0.043223478610407616	bowtie.all
bq_BaTh	0.029323976017272615	bowtie.all
aa_BaCe	0.018640734151723994	bowtie.all
bq_BaXy	0.031369395445052434	bowtie.all
am_TuSa	0.0030953284605426735	bowtie.all
bq_BaSa	0.047912637210587715	bowtie.all
aa_BaDo	0.02223353048672515	bowtie.all
bk_BaUn	0.02471678980995354	bowtie.all
an_BaXy	0.033059770269614784	bowtie.all
am_RuLa	0.0012291985607700649	bowtie.all
am_PrNa	0.009722215750581948	bowtie.all
ao_BaUn	0.024632527728901284	bowtie.all
bq_BaUn	0.027631544117824	bowtie.all
am_EsCo	0.017745240213782803	bowtie.all
av_BaUn	0.02869659082900026	bowtie.all
am_BaSa	0.04414883874716263	bowtie.all
bq_BaVu	0.027233080602445333	bowtie.all
bq_BaDo	0.0379212057069961	bowtie.all
bf_BaVu	0.016057986704996585	bowtie.all
av_BaOv	0.027542683398242368	bowtie.all
am_BA	0.0006223391873616089	bowtie.all
am_BL	0.0006691568623534347	bowtie.all
am_BiPs	0.002729760449043574	bowtie.all
am_EnDu	0.0017711439822542445	bowtie.all
am_LaSp	0.0001763067314641299	bowtie.all
am_BlOb	0.0003774348748056476	bowtie.all
am_BlSp	0.00029081330693599665	bowtie.all
am_AkMu	0.0022105494456590067	bowtie.all
am_PrMi	0.002087172640433322	bowtie.all
am_PhFa	0.0003822226369105935	bowtie.all
am_FlPl	0.00047482109885614246	bowtie.all
am_EnMu	0.00043930643352011486	bowtie.all
am_HoMa	0.0011425206610467876	bowtie.all
am_FaCy	0.0014431532715997988	bowtie.all
af_BaCe	0.00028470605370124454	bowtie.all
ao_BaFr	0.7655099972004227	bowtie
am_BaFr	0.9998666575209866	bowtie
aa_BaFr	0.725049083922571	bowtie
av_BaFr	0.7629101625235062	bowtie
bq_BaFr	0.7129011298162359	bowtie
bq_BaCa	0.0052356929638940385	bowtie
af_BaFr	0.6726888883791808	bowtie
an_BaOv	0.009432662066841901	bowtie
cx_BaOv	0.004315037271139492	bowtie
am_BaVu	0.02200230548503916	bowtie
af_BaSt	0.009819091501542683	bowtie
cx_BaVu	0.0050956304241166	bowtie
am_PaMe	0.025527792947098282	bowtie
am_BaXy	0.01828792215320588	bowtie
ao_BaOv	0.0018418611277413797	bowtie
aa_BaFa	0.0097997459856837	bowtie
am_BaOv	0.01948238688939286	bowtie
af_BaDo	0.0008676057572059193	bowtie
aa_BaVu	0.0014608151483164948	bowtie
bq_BaCe	0.005304633333155558	bowtie
af_BaUn	0.016987212113628435	bowtie
aa_BaDo	0.0020956862237057916	bowtie
