genome	tool	thread	memory_limit	time	memory
all	mappermem	5	5	0.0	5297492
all	mappermem	5	10	0.0	10452128
all	mappermem	5	15	236.39	16354768
all	mappermem	5	20	225.48	21915348
all	mappermem	5	30	220.11	32817632
all	mappermem	30	5	0.0	5310396
all	mappermem	30	10	0.0	10511488
all	mappermem	30	15	0.0	15817116
all	mappermem	30	20	164.29	22540800
all	mappermem	30	30	137.56	33696748
am0230	mappermem	5	5	136.66	5510348
am0230	mappermem	5	10	129.29	10694840
am0230	mappermem	5	15	131.65	14872092
am0230	mappermem	5	20	130.3	18656860
am0230	mappermem	5	30	130.48	23661104
am0230	mappermem	30	5	57.2	5673508
am0230	mappermem	30	10	50.24	11054608
am0230	mappermem	30	15	48.34	15949368
am0230	mappermem	30	20	50.18	19661952
am0230	mappermem	30	30	50.42	26324508
