genome	tool	thread	memory
am0230	mapper16mer	1	37.072732
am0230	mapper16mer	3	37.104648
am0230	mapper16mer	5	37.344756
am0230	mapper16mer	7	37.415632
am0230	mapper16mer	9	37.518988
am0230	mapper16mer	11	37.5443
am0230	mapper16mer	15	37.7465
am0230	mapper16mer	20	37.846492
am0230	mapper16mer	25	38.189908
am0230	mapper16mer	30	38.352112
all	mapper	1	32.479912
all	mapper	3	32.641608
all	mapper	5	32.7989
all	mapper	7	32.847584
all	mapper	9	32.82368
all	mapper	11	33.158364
all	mapper	15	33.318528
all	mapper	20	33.49964
all	mapper	25	33.821024
all	mapper	30	33.5143
am0230	mapper20mer	1	37.203448
am0230	mapper20mer	3	37.098036
am0230	mapper20mer	5	37.295828
am0230	mapper20mer	7	37.396772
am0230	mapper20mer	9	37.496472
am0230	mapper20mer	11	37.551156
am0230	mapper20mer	15	37.754064
am0230	mapper20mer	20	37.836068
am0230	mapper20mer	25	38.194232
am0230	mapper20mer	30	38.412544
am0230	mapper	1	22.223792
am0230	mapper	3	22.469464
am0230	mapper	5	23.704364
am0230	mapper	7	23.86418
am0230	mapper	9	23.990108
am0230	mapper	11	24.157968
am0230	mapper	15	25.333312
am0230	mapper	20	26.462256
am0230	mapper	25	25.74878
am0230	mapper	30	27.13018
all	mapper16mer	1	40.10694
all	mapper16mer	3	40.110184
all	mapper16mer	5	40.092188
all	mapper16mer	7	40.241588
all	mapper16mer	9	40.235232
all	mapper16mer	11	40.409592
all	mapper16mer	15	40.80528
all	mapper16mer	20	40.481244
all	mapper16mer	25	40.731944
all	mapper16mer	30	40.923072
all	minimap	1	3.73842
all	minimap	3	3.27142
all	minimap	5	3.451596
all	minimap	7	3.543876
all	minimap	9	3.623972
all	minimap	11	3.60242
all	minimap	15	3.661696
all	minimap	20	3.686408
all	minimap	25	3.684452
all	minimap	30	3.690596
am0230	minimap	1	0.88286
am0230	minimap	3	0.98224
am0230	minimap	5	0.986396
am0230	minimap	7	0.992852
am0230	minimap	9	1.004072
am0230	minimap	11	1.048436
am0230	minimap	15	1.059632
am0230	minimap	20	1.05402
am0230	minimap	25	1.058752
am0230	minimap	30	1.05228
am0230	last	1	0.542208
am0230	last	3	0.54262
am0230	last	5	0.544564
am0230	last	7	0.54636
am0230	last	9	0.549016
am0230	last	11	0.550256
am0230	last	15	0.554932
am0230	last	20	0.559
am0230	last	25	0.563596
am0230	last	30	0.568316
all	mapper24mer	1	40.25034
all	mapper24mer	3	40.216968
all	mapper24mer	5	40.331652
all	mapper24mer	7	40.383176
all	mapper24mer	9	40.437428
all	mapper24mer	11	40.547136
all	mapper24mer	15	40.673864
all	mapper24mer	20	40.906012
all	mapper24mer	25	41.083984
all	mapper24mer	30	41.342384
all	bowtie	1	1.157416
all	bowtie	3	1.157804
all	bowtie	5	1.157536
all	bowtie	7	1.157504
all	bowtie	9	1.157232
all	bowtie	11	1.214128
all	bowtie	15	1.446244
all	bowtie	20	1.737072
all	bowtie	25	2.015884
all	bowtie	30	2.43982
all	strobealign	1	2.41896
all	strobealign	3	2.642436
all	strobealign	5	2.807864
all	strobealign	7	2.98674
all	strobealign	9	3.241796
all	strobealign	11	3.627104
all	strobealign	15	3.869472
all	strobealign	20	4.9493
all	strobealign	25	4.8456
all	strobealign	30	5.92532
am0230	strobealign	1	0.49792
am0230	strobealign	3	0.544976
am0230	strobealign	5	0.592688
am0230	strobealign	7	0.662776
am0230	strobealign	9	0.717044
am0230	strobealign	11	0.770212
am0230	strobealign	15	0.864316
am0230	strobealign	20	0.987056
am0230	strobealign	25	1.097384
am0230	strobealign	30	1.208184
am0230	bwa	1	0.300276
am0230	bwa	3	0.560612
am0230	bwa	5	0.8048
am0230	bwa	7	1.087552
am0230	bwa	9	1.373588
am0230	bwa	11	1.631928
am0230	bwa	15	2.144452
am0230	bwa	20	2.77246
am0230	bwa	25	3.3639
am0230	bwa	30	3.784012
all	last	1	2.411608
all	last	3	2.416128
all	last	5	2.418688
all	last	7	2.421668
all	last	9	2.424224
all	last	11	2.426964
all	last	15	2.432512
all	last	20	2.44092
all	last	25	2.457836
all	last	30	2.468092
am0230	mapper24mer	1	37.093752
am0230	mapper24mer	3	37.18276
am0230	mapper24mer	5	37.355228
am0230	mapper24mer	7	37.386496
am0230	mapper24mer	9	37.504308
am0230	mapper24mer	11	37.592664
am0230	mapper24mer	15	37.747012
am0230	mapper24mer	20	37.96126
am0230	mapper24mer	25	38.190572
am0230	mapper24mer	30	38.393668
all	mapper20mer	1	40.044896
all	mapper20mer	3	40.307676
all	mapper20mer	5	40.381404
all	mapper20mer	7	40.393624
all	mapper20mer	9	40.250012
all	mapper20mer	11	40.371928
all	mapper20mer	15	40.51934
all	mapper20mer	20	40.692752
all	mapper20mer	25	40.861748
all	mapper20mer	30	41.050332
all	bwa	1	0.966348
all	bwa	3	1.29978
all	bwa	5	1.606024
all	bwa	7	1.8684
all	bwa	9	2.105992
all	bwa	11	2.364764
all	bwa	15	2.83776
all	bwa	20	3.469056
all	bwa	25	3.888896
all	bwa	30	4.196784
am0230	bowtie	1	0.250004
am0230	bowtie	3	0.249444
am0230	bowtie	5	0.249488
am0230	bowtie	7	0.25028
am0230	bowtie	9	0.249888
am0230	bowtie	11	0.25052
am0230	bowtie	15	0.280724
am0230	bowtie	20	0.325596
am0230	bowtie	25	0.378668
am0230	bowtie	30	0.415636
