genome	tool	thread	real time	time
all	mapper	1	14m25.102s	865.102
all	mapper	3	5m8.757s	308.757
all	mapper	5	3m23.972s	203.972
all	mapper	7	2m24.309s	144.309
all	mapper	9	2m0.625s	120.625
all	mapper	11	1m51.456s	111.456
all	mapper	13	1m44.822s	104.822
all	mapper	15	1m36.054s	96.054
all	mapper	17	1m30.466s	90.46600000000001
all	mapper	19	1m30.115s	90.115
all	mapper	21	1m23.249s	83.249
all	mapper	23	1m22.158s	82.158
all	mapper	25	1m21.094s	81.094
all	mapper	27	1m22.328s	82.328
all	mapper	29	1m20.942s	80.94200000000001
am0230	mapper	1	12m33.541s	753.5409999999999
am0230	mapper	3	4m24.960s	264.96
am0230	mapper	5	2m43.474s	163.474
am0230	mapper	7	1m59.172s	119.172
am0230	mapper	9	1m40.337s	100.337
am0230	mapper	11	1m29.310s	89.31
am0230	mapper	13	1m23.227s	83.227
am0230	mapper	15	1m18.491s	78.491
am0230	mapper	17	1m13.438s	73.438
am0230	mapper	19	1m10.850s	70.85
am0230	mapper	21	1m8.242s	68.242
am0230	mapper	23	1m4.581s	64.581
am0230	mapper	25	1m2.792s	62.792
am0230	mapper	27	1m7.315s	67.315
am0230	mapper	29	1m5.027s	65.027
am_BaFr_g0050	bwa	1	2m53.318s	173.31799999999998
am_BaFr_g0050	bwa	3	1m3.827s	63.827
am_BaFr_g0050	bwa	5	0m45.196s	45.196
am_BaFr_g0050	bwa	7	0m49.098s	49.098
am_BaFr_g0050	bwa	9	0m44.331s	44.331
am_BaFr_g0050	bwa	11	0m41.776s	41.776
am_BaFr_g0050	bwa	13	0m39.301s	39.301
am_BaFr_g0050	bwa	15	0m37.582s	37.582
am_BaFr_g0050	bwa	17	0m36.256s	36.256
am_BaFr_g0050	bwa	19	0m34.965s	34.965
am_BaFr_g0050	bwa	21	0m34.018s	34.018
am_BaFr_g0050	bwa	23	0m33.736s	33.736
am_BaFr_g0050	bwa	25	0m33.015s	33.015
am_BaFr_g0050	bwa	27	0m27.303s	27.303
am_BaFr_g0050	bwa	29	0m32.684s	32.684
all	minimap	1	60m0.001s	3600.001
all	minimap	3	46m3.249s	2763.249
all	minimap	5	28m20.753s	1700.753
all	minimap	7	21m3.097s	1263.097
all	minimap	9	17m31.048s	1051.048
all	minimap	11	15m29.237s	929.237
all	minimap	13	13m59.298s	839.298
all	minimap	15	12m44.283s	764.283
all	minimap	17	11m39.975s	699.975
all	minimap	19	10m50.746s	650.746
all	minimap	21	10m9.879s	609.879
all	minimap	23	9m30.601s	570.601
all	minimap	25	9m26.026s	566.026
all	minimap	27	9m15.414s	555.414
all	minimap	29	8m42.249s	522.249
am0230	minimap	1	1m51.951s	111.951
am0230	minimap	3	1m16.166s	76.166
am0230	minimap	5	1m5.299s	65.299
am0230	minimap	7	1m1.463s	61.463
am0230	minimap	9	0m59.768s	59.768
am0230	minimap	11	1m0.525s	60.525
am0230	minimap	13	0m58.826s	58.826
am0230	minimap	15	1m1.012s	61.012
am0230	minimap	17	0m58.590s	58.59
am0230	minimap	19	1m1.089s	61.089
am0230	minimap	21	0m58.768s	58.768
am0230	minimap	23	0m59.150s	59.15
am0230	minimap	25	1m0.280s	60.28
am0230	minimap	27	0m58.106s	58.106
am0230	minimap	29	0m58.602s	58.602
all	bowtie	1	33m50.035s	2030.035
all	bowtie	3	16m1.346s	961.346
all	bowtie	5	12m45.465s	765.465
all	bowtie	7	11m23.959s	683.959
all	bowtie	9	10m43.979s	643.979
all	bowtie	11	10m21.896s	621.896
all	bowtie	13	10m7.579s	607.579
all	bowtie	15	10m3.269s	603.269
all	bowtie	17	9m50.833s	590.833
all	bowtie	19	9m47.361s	587.361
all	bowtie	21	9m41.748s	581.748
all	bowtie	23	9m40.549s	580.549
all	bowtie	25	9m40.642s	580.642
all	bowtie	27	9m40.651s	580.651
all	bowtie	29	9m39.300s	579.3
am0230	bwa	1	9m58.636s	598.636
