genome	tool	thread	time
all	minimap	1	19.32
all	minimap	3	2821.6899999999996
all	minimap	5	1710.6100000000001
all	minimap	7	1266.08
all	minimap	9	1063.8999999999999
all	minimap	11	943.4300000000001
all	minimap	15	764.6899999999999
all	minimap	20	636.64
all	minimap	25	582.08
all	minimap	30	553.11
am0230	minimap	1	116.36999999999999
am0230	minimap	3	64.82
am0230	minimap	5	51.080000000000005
am0230	minimap	7	48.51
am0230	minimap	9	47.16
am0230	minimap	11	46.81
am0230	minimap	15	46.629999999999995
am0230	minimap	20	46.089999999999996
am0230	minimap	25	50.7
am0230	minimap	30	45.92
am0230	last	1	2552.4900000000002
am0230	last	3	903.4300000000001
am0230	last	5	562.7900000000001
am0230	last	7	424.58000000000004
am0230	last	9	356.28999999999996
am0230	last	11	304.16
am0230	last	15	242.47
am0230	last	20	193.59
am0230	last	25	167.38
am0230	last	30	158.26000000000002
all	bowtie	1	2694.16
all	bowtie	3	1257.59
all	bowtie	5	948.56
all	bowtie	7	818.01
all	bowtie	9	747.78
all	bowtie	11	709.22
all	bowtie	15	667.03
all	bowtie	20	733.21
all	bowtie	25	719.26
all	bowtie	30	687.47
all	strobealign	1	115.07
all	strobealign	3	42.86
all	strobealign	5	35.62
all	strobealign	7	32.82
all	strobealign	9	32.49
all	strobealign	11	33.13
all	strobealign	15	32.53
all	strobealign	20	32.94
all	strobealign	25	32.04
all	strobealign	30	32.71
am0230	strobealign	1	114.11
am0230	strobealign	3	53.18
am0230	strobealign	5	49.97
am0230	strobealign	7	44.31
am0230	strobealign	9	41.19
am0230	strobealign	11	40.37
am0230	strobealign	15	37.77
am0230	strobealign	20	37.03999999999999
am0230	strobealign	25	36.5
am0230	strobealign	30	35.84
am0230	bwa	1	653.16
am0230	bwa	3	259.75
am0230	bwa	5	174.16
am0230	bwa	7	143.8
am0230	bwa	9	126.50999999999999
am0230	bwa	11	115.16
am0230	bwa	15	106.38
am0230	bwa	20	100.86
am0230	bwa	25	109.28
am0230	bwa	30	100.94
all	last	1	1138.48
all	last	3	391.56
all	last	5	257.05
all	last	7	216.53
all	last	9	194.1
all	last	11	182.29
all	last	15	162.61
all	last	20	161.38
all	last	25	141.62
all	last	30	125.57
all	bwa	1	549.56
all	bwa	3	357.66
all	bwa	5	330.08
all	bwa	7	331.14
all	bwa	9	304.63
all	bwa	11	305.47
all	bwa	15	303.5
all	bwa	20	291.43
all	bwa	25	290.03
all	bwa	30	286.01
am0230	bowtie	1	1419.24
am0230	bowtie	3	527.14
am0230	bowtie	5	363.38
am0230	bowtie	7	285.54999999999995
am0230	bowtie	9	253.99
am0230	bowtie	11	235.82
am0230	bowtie	15	203.23000000000002
am0230	bowtie	20	185.48000000000002
am0230	bowtie	25	182.64
am0230	bowtie	30	175.41000000000003
am0230	mapper	1	596.117
am0230	mapper	3	204.08
am0230	mapper	5	130.459
am0230	mapper	7	96.837
am0230	mapper	9	84.207
am0230	mapper	11	74.251
am0230	mapper	15	58.856
am0230	mapper	20	53.909
am0230	mapper	25	49.937
am0230	mapper	30	48.384
all	mapper	1	894.226
all	mapper	3	344.311
all	mapper	5	216.582
all	mapper	7	185.23
all	mapper	9	153.049
all	mapper	11	139.758
all	mapper	15	124.675
all	mapper	20	133.043
all	mapper	25	131.951
all	mapper	30	129.167
am0230	mapper16mer	1	309.792
am0230	mapper16mer	3	120.444
am0230	mapper16mer	5	95.686
am0230	mapper16mer	7	75.852
am0230	mapper16mer	9	71.619
am0230	mapper16mer	11	73.035
am0230	mapper16mer	15	69.28
am0230	mapper16mer	20	68.255
am0230	mapper16mer	25	68.967
am0230	mapper16mer	30	73.11
all	mapper20mer	1	492.765
all	mapper20mer	3	250.168
all	mapper20mer	5	230.308
all	mapper20mer	7	226.753
all	mapper20mer	9	223.675
all	mapper20mer	11	227.454
all	mapper20mer	15	229.537
all	mapper20mer	20	231.147
all	mapper20mer	25	229.641
all	mapper20mer	30	229.433
all	mapper24mer	1	495.508
all	mapper24mer	3	254.396
all	mapper24mer	5	230.815
all	mapper24mer	7	227.822
all	mapper24mer	9	229.173
all	mapper24mer	11	230.544
all	mapper24mer	15	232.408
all	mapper24mer	20	233.522
all	mapper24mer	25	230.468
all	mapper24mer	30	230.824
am0230	mapper20mer	1	302.123
am0230	mapper20mer	3	116.317
am0230	mapper20mer	5	94.153
am0230	mapper20mer	7	75.441
am0230	mapper20mer	9	70.307
am0230	mapper20mer	11	71.474
am0230	mapper20mer	15	67.096
am0230	mapper20mer	20	69.448
am0230	mapper20mer	25	73.63
am0230	mapper20mer	30	67.841
am0230	mapper24mer	1	289.677
am0230	mapper24mer	3	114.275
am0230	mapper24mer	5	80.827
am0230	mapper24mer	7	72.139
am0230	mapper24mer	9	73.535
am0230	mapper24mer	11	74.321
am0230	mapper24mer	15	70.106
am0230	mapper24mer	20	77.769
am0230	mapper24mer	25	71.975
am0230	mapper24mer	30	71.756
all	mapper16mer	1	483.052
all	mapper16mer	3	260.885
all	mapper16mer	5	236.589
all	mapper16mer	7	229.448
all	mapper16mer	9	227.92
all	mapper16mer	11	226.078
all	mapper16mer	15	229.511
all	mapper16mer	20	231.985
all	mapper16mer	25	228.805
all	mapper16mer	30	227.911
