genome	tool	thread	time
all	minimap	1	19.32
all	minimap	3	69.99
all	minimap	5	15.93
all	minimap	7	18.23
all	minimap	9	22.86
all	minimap	11	15.19
all	minimap	15	16.06
all	minimap	20	17.18
all	minimap	25	16.08
all	minimap	30	16.01
am0230	minimap	1	4.08
am0230	minimap	3	3.27
am0230	minimap	5	3.63
am0230	minimap	7	3.03
am0230	minimap	9	3.11
am0230	minimap	11	3.09
am0230	minimap	15	3.09
am0230	minimap	20	3.12
am0230	minimap	25	2.85
am0230	minimap	30	2.99
am0230	last	1	37.4
am0230	last	3	19.48
am0230	last	5	14.97
am0230	last	7	14.98
am0230	last	9	13.33
am0230	last	11	12.06
am0230	last	15	11.04
am0230	last	20	10.07
am0230	last	25	9.91
am0230	last	30	9.8
all	bowtie	1	466.29
all	bowtie	3	464.65999999999997
all	bowtie	5	464.53
all	bowtie	7	465.09000000000003
all	bowtie	9	464.54
all	bowtie	11	464.73
all	bowtie	15	464.45
all	bowtie	20	490.44
all	bowtie	25	493.63
all	bowtie	30	489.93
all	strobealign	1	28.65
all	strobealign	3	14.48
all	strobealign	5	15.38
all	strobealign	7	13.11
all	strobealign	9	14.51
all	strobealign	11	14.32
all	strobealign	15	13.98
all	strobealign	20	14.15
all	strobealign	25	12.7
all	strobealign	30	12.92
am0230	strobealign	1	5.08
am0230	strobealign	3	3.45
am0230	strobealign	5	3.1
am0230	strobealign	7	4.8
am0230	strobealign	9	2.79
am0230	strobealign	11	2.94
am0230	strobealign	15	2.85
am0230	strobealign	20	2.66
am0230	strobealign	25	2.68
am0230	strobealign	30	2.76
am0230	bwa	1	41.18
am0230	bwa	3	40.47
am0230	bwa	5	40.99
am0230	bwa	7	40.81
am0230	bwa	9	40.94
am0230	bwa	11	40.55
am0230	bwa	15	40.83
am0230	bwa	20	40.88
am0230	bwa	25	49.33
am0230	bwa	30	41.39
all	last	1	266.55
all	last	3	118.06
all	last	5	86.09
all	last	7	72.1
all	last	9	73.66
all	last	11	66.69
all	last	15	62.97
all	last	20	53.11
all	last	25	48.45
all	last	30	48.3
all	bwa	1	261.04
all	bwa	3	257.16
all	bwa	5	258.83
all	bwa	7	276.49
all	bwa	9	261.53
all	bwa	11	264.1
all	bwa	15	265.81
all	bwa	20	262.55
all	bwa	25	260.69
all	bwa	30	257.8
am0230	bowtie	1	91.84
am0230	bowtie	3	91.97
am0230	bowtie	5	91.85
am0230	bowtie	7	91.85
am0230	bowtie	9	92.07
am0230	bowtie	11	92.1
am0230	bowtie	15	92.18
am0230	bowtie	20	91.62
am0230	bowtie	25	91.81
am0230	bowtie	30	92.49000000000001
am0230	mapper	1	57.852
am0230	mapper	3	21.094
am0230	mapper	5	13.485
am0230	mapper	7	10.61
am0230	mapper	9	8.812
am0230	mapper	11	7.827
am0230	mapper	15	6.787
am0230	mapper	20	6.931
am0230	mapper	25	7.25
am0230	mapper	30	7.211
all	mapper	1	247.294
all	mapper	3	91.606
all	mapper	5	56.155
all	mapper	7	43.421
all	mapper	9	36.746
all	mapper	11	30.967
all	mapper	15	26.801
all	mapper	20	26.548
all	mapper	25	27.433
all	mapper	30	28.182
am0230	mapper16mer	1	56.774
am0230	mapper16mer	3	25.869
am0230	mapper16mer	5	25.952
am0230	mapper16mer	7	26.32
am0230	mapper16mer	9	26.614
am0230	mapper16mer	11	27.674
am0230	mapper16mer	15	28.632
am0230	mapper16mer	20	28.86
am0230	mapper16mer	25	28.805
am0230	mapper16mer	30	28.42
all	mapper20mer	1	280.304
all	mapper20mer	3	132.862
all	mapper20mer	5	134.632
all	mapper20mer	7	134.831
all	mapper20mer	9	136.316
all	mapper20mer	11	139.586
all	mapper20mer	15	143.088
all	mapper20mer	20	144.613
all	mapper20mer	25	142.527
all	mapper20mer	30	142.925
all	mapper24mer	1	291.012
all	mapper24mer	3	131.431
all	mapper24mer	5	133.566
all	mapper24mer	7	133.963
all	mapper24mer	9	137.993
all	mapper24mer	11	138.538
all	mapper24mer	15	141.676
all	mapper24mer	20	143.632
all	mapper24mer	25	142.706
all	mapper24mer	30	143.105
am0230	mapper20mer	1	65.041
am0230	mapper20mer	3	26.178
am0230	mapper20mer	5	26.492
am0230	mapper20mer	7	26.163
am0230	mapper20mer	9	26.362
am0230	mapper20mer	11	27.055
am0230	mapper20mer	15	27.735
am0230	mapper20mer	20	29.004
am0230	mapper20mer	25	28.825
am0230	mapper20mer	30	28.056
am0230	mapper24mer	1	72.035
am0230	mapper24mer	3	26.288
am0230	mapper24mer	5	25.567
am0230	mapper24mer	7	26.181
am0230	mapper24mer	9	26.391
am0230	mapper24mer	11	27.022
am0230	mapper24mer	15	27.827
am0230	mapper24mer	20	28.717
am0230	mapper24mer	25	28.156
am0230	mapper24mer	30	28.345
all	mapper16mer	1	255.79
all	mapper16mer	3	135.209
all	mapper16mer	5	138.521
all	mapper16mer	7	139.275
all	mapper16mer	9	141.075
all	mapper16mer	11	142.711
all	mapper16mer	15	145.041
all	mapper16mer	20	146.984
all	mapper16mer	25	145.619
all	mapper16mer	30	144.288
