genome	tool	thread	time
all	minimap	1	0.0
all	minimap	3	2751.7
all	minimap	5	1694.68
all	minimap	7	1247.85
all	minimap	9	1041.04
all	minimap	11	928.24
all	minimap	15	748.63
all	minimap	20	619.46
all	minimap	25	566.0
all	minimap	30	537.1
am0230	minimap	1	112.28999999999999
am0230	minimap	3	61.55
am0230	minimap	5	47.45
am0230	minimap	7	45.48
am0230	minimap	9	44.05
am0230	minimap	11	43.72
am0230	minimap	15	43.54
am0230	minimap	20	42.97
am0230	minimap	25	47.85
am0230	minimap	30	42.93
am0230	last	1	2515.09
am0230	last	3	883.95
am0230	last	5	547.82
am0230	last	7	409.6
am0230	last	9	342.96
am0230	last	11	292.1
am0230	last	15	231.43
am0230	last	20	183.52
am0230	last	25	157.47
am0230	last	30	148.46
all	bowtie	1	2227.87
all	bowtie	3	792.93
all	bowtie	5	484.03
all	bowtie	7	352.92
all	bowtie	9	283.24
all	bowtie	11	244.49
all	bowtie	15	202.57999999999998
all	bowtie	20	242.77
all	bowtie	25	225.63
all	bowtie	30	197.54
all	strobealign	1	86.41999999999999
all	strobealign	3	28.38
all	strobealign	5	20.239999999999995
all	strobealign	7	19.71
all	strobealign	9	17.980000000000004
all	strobealign	11	18.810000000000002
all	strobealign	15	18.55
all	strobealign	20	18.79
all	strobealign	25	19.34
all	strobealign	30	19.79
am0230	strobealign	1	109.03
am0230	strobealign	3	49.73
am0230	strobealign	5	46.87
am0230	strobealign	7	39.510000000000005
am0230	strobealign	9	38.4
am0230	strobealign	11	37.43
am0230	strobealign	15	34.92
am0230	strobealign	20	34.379999999999995
am0230	strobealign	25	33.82
am0230	strobealign	30	33.080000000000005
am0230	bwa	1	611.98
am0230	bwa	3	219.28
am0230	bwa	5	133.17
am0230	bwa	7	102.99000000000001
am0230	bwa	9	85.57
am0230	bwa	11	74.61
am0230	bwa	15	65.55
am0230	bwa	20	59.98
am0230	bwa	25	59.95
am0230	bwa	30	59.55
all	last	1	871.93
all	last	3	273.5
all	last	5	170.96
all	last	7	144.43
all	last	9	120.44
all	last	11	115.6
all	last	15	99.64
all	last	20	108.27000000000001
all	last	25	93.17
all	last	30	77.27
all	bwa	1	288.52
all	bwa	3	100.5
all	bwa	5	71.25
all	bwa	7	54.65
all	bwa	9	43.1
all	bwa	11	41.37
all	bwa	15	37.69
all	bwa	20	28.88
all	bwa	25	29.34
all	bwa	30	28.21
am0230	bowtie	1	1327.4
am0230	bowtie	3	435.17
am0230	bowtie	5	271.53
am0230	bowtie	7	193.7
am0230	bowtie	9	161.92000000000002
am0230	bowtie	11	143.72
am0230	bowtie	15	111.05
am0230	bowtie	20	93.86
am0230	bowtie	25	90.83
am0230	bowtie	30	82.92
am0230	mapper	1	538.265
am0230	mapper	3	182.98600000000002
am0230	mapper	5	116.974
am0230	mapper	7	86.227
am0230	mapper	9	75.395
am0230	mapper	11	66.424
am0230	mapper	15	52.069
am0230	mapper	20	46.978
am0230	mapper	25	42.687
am0230	mapper	30	41.173
all	mapper	1	646.932
all	mapper	3	252.70499999999998
all	mapper	5	160.427
all	mapper	7	141.809
all	mapper	9	116.303
all	mapper	11	108.79100000000001
all	mapper	15	97.874
all	mapper	20	106.495
all	mapper	25	104.518
all	mapper	30	100.985
am0230	mapper16mer	1	253.01799999999997
am0230	mapper16mer	3	94.575
am0230	mapper16mer	5	69.73400000000001
am0230	mapper16mer	7	49.532000000000004
am0230	mapper16mer	9	45.004999999999995
am0230	mapper16mer	11	45.361
am0230	mapper16mer	15	40.647999999999996
am0230	mapper16mer	20	39.394999999999996
am0230	mapper16mer	25	40.162
am0230	mapper16mer	30	44.69
all	mapper20mer	1	212.461
all	mapper20mer	3	117.30600000000001
all	mapper20mer	5	95.67599999999999
all	mapper20mer	7	91.922
all	mapper20mer	9	87.35900000000001
all	mapper20mer	11	87.868
all	mapper20mer	15	86.44900000000001
all	mapper20mer	20	86.53399999999999
all	mapper20mer	25	87.114
all	mapper20mer	30	86.50799999999998
all	mapper24mer	1	204.49599999999998
all	mapper24mer	3	122.96499999999997
all	mapper24mer	5	97.249
all	mapper24mer	7	93.85900000000001
all	mapper24mer	9	91.18
all	mapper24mer	11	92.006
all	mapper24mer	15	90.732
all	mapper24mer	20	89.88999999999999
all	mapper24mer	25	87.762
all	mapper24mer	30	87.71900000000002
am0230	mapper20mer	1	237.082
am0230	mapper20mer	3	90.139
am0230	mapper20mer	5	67.661
am0230	mapper20mer	7	49.278000000000006
am0230	mapper20mer	9	43.94500000000001
am0230	mapper20mer	11	44.419000000000004
am0230	mapper20mer	15	39.361000000000004
am0230	mapper20mer	20	40.44399999999999
am0230	mapper20mer	25	44.80499999999999
am0230	mapper20mer	30	39.785
am0230	mapper24mer	1	217.64200000000002
am0230	mapper24mer	3	87.98700000000001
am0230	mapper24mer	5	55.26
am0230	mapper24mer	7	45.958
am0230	mapper24mer	9	47.144
am0230	mapper24mer	11	47.299
am0230	mapper24mer	15	42.278999999999996
am0230	mapper24mer	20	49.05200000000001
am0230	mapper24mer	25	43.818999999999996
am0230	mapper24mer	30	43.411
all	mapper16mer	1	227.26200000000003
all	mapper16mer	3	125.67599999999999
all	mapper16mer	5	98.06800000000001
all	mapper16mer	7	90.173
all	mapper16mer	9	86.845
all	mapper16mer	11	83.36699999999999
all	mapper16mer	15	84.47
all	mapper16mer	20	85.001
all	mapper16mer	25	83.186
all	mapper16mer	30	83.62299999999999
